submitted_at,Which Singapore excursions are calling your name?,response_id
2026-07-08T15:15:31Z,"{""ids"": [""9N2UOILjYQXJ"", ""IKIcVEsby3qG"", ""PkoVfWpEiWuR"", ""BwY5w3o4zoyL"", ""Hwfn5ZyRJaNR"", ""40NkbnVTfFrJ"", ""mKyGAFOVLSCX"", ""AgfumYMt7vYH"", ""S1JxjeWXv7ob"", ""SrRKZ0qYZMQb"", ""VCKdRZnF3lcP"", ""kAgZSmE7ahLB"", ""uCZ8Oga8o9Ju""], ""refs"": [""4bca7c10-cf64-406a-920c-2aa4c44c6278"", ""42aa6144-77d3-4b3f-a128-d2ca988b4bf1"", ""a1686806-8747-439a-bf3d-0a2a8a0da92b"", ""b9d8a4e0-2662-45ca-856f-f71c8464b1e9"", ""fbafb31a-a38b-42e6-8c2e-ad5fdc9025d7"", ""8aa9f61e-63fb-424a-bbfa-19925f947beb"", ""6596437f-c506-4976-a7cf-e20105e789a2"", ""1d38897b-d742-416b-ab51-4227b94b4fbf"", ""217d0bc6-fcb9-4213-81d8-c53fb9f4f116"", ""5836431b-db39-4f91-8eaf-24bcd010cdde"", ""a5f7c594-9850-4e9d-9b64-87d54cbbfa2e"", ""7e012f27-0a06-4ea3-b4b2-8eae36826f01"", ""db0a1f60-461d-4c59-b971-302a6329cef6""], ""labels"": [""Island Hoppers"", ""Wellness"", ""Batik Painting"", ""Cooking Class + Market Tour"", ""Rooftop* Farm Experience + Salad & Sugarcane"", ""Vespa SideCar Tour"", ""Mahjong & Tea"", ""Hawker Tour"", ""Chinatown & Hawker Food Tour"", ""Market to Table"", ""Secret of the East Tour"", ""Lunch at JAAN"", ""Rooftop Pool Bar""]}",1sell8pz415clgazs7zc1sell8ppzu8v
2026-07-08T15:20:50Z,"{""ids"": [""IKIcVEsby3qG"", ""9N2UOILjYQXJ"", ""Hwfn5ZyRJaNR"", ""mKyGAFOVLSCX"", ""PkoVfWpEiWuR"", ""AgfumYMt7vYH"", ""VCKdRZnF3lcP"", ""BwY5w3o4zoyL"", ""SrRKZ0qYZMQb"", ""40NkbnVTfFrJ"", ""uCZ8Oga8o9Ju"", ""kAgZSmE7ahLB"", ""S1JxjeWXv7ob""], ""refs"": [""42aa6144-77d3-4b3f-a128-d2ca988b4bf1"", ""4bca7c10-cf64-406a-920c-2aa4c44c6278"", ""fbafb31a-a38b-42e6-8c2e-ad5fdc9025d7"", ""6596437f-c506-4976-a7cf-e20105e789a2"", ""a1686806-8747-439a-bf3d-0a2a8a0da92b"", ""1d38897b-d742-416b-ab51-4227b94b4fbf"", ""a5f7c594-9850-4e9d-9b64-87d54cbbfa2e"", ""b9d8a4e0-2662-45ca-856f-f71c8464b1e9"", ""5836431b-db39-4f91-8eaf-24bcd010cdde"", ""8aa9f61e-63fb-424a-bbfa-19925f947beb"", ""db0a1f60-461d-4c59-b971-302a6329cef6"", ""7e012f27-0a06-4ea3-b4b2-8eae36826f01"", ""217d0bc6-fcb9-4213-81d8-c53fb9f4f116""], ""labels"": [""Wellness"", ""Island Hoppers"", ""Rooftop* Farm Experience + Salad & Sugarcane"", ""Mahjong & Tea"", ""Batik Painting"", ""Hawker Tour"", ""Secret of the East Tour"", ""Cooking Class + Market Tour"", ""Market to Table"", ""Vespa SideCar Tour"", ""Rooftop Pool Bar"", ""Lunch at JAAN"", ""Chinatown & Hawker Food Tour""]}",1bqhc6v05c0ebii3ykh1bquff6lclfm6
2026-07-08T16:16:13Z,"{""ids"": [""S1JxjeWXv7ob"", ""AgfumYMt7vYH"", ""Hwfn5ZyRJaNR"", ""VCKdRZnF3lcP"", ""BwY5w3o4zoyL"", ""mKyGAFOVLSCX"", ""PkoVfWpEiWuR"", ""40NkbnVTfFrJ"", ""SrRKZ0qYZMQb"", ""uCZ8Oga8o9Ju"", ""IKIcVEsby3qG"", ""9N2UOILjYQXJ"", ""kAgZSmE7ahLB""], ""refs"": [""217d0bc6-fcb9-4213-81d8-c53fb9f4f116"", ""1d38897b-d742-416b-ab51-4227b94b4fbf"", ""fbafb31a-a38b-42e6-8c2e-ad5fdc9025d7"", ""a5f7c594-9850-4e9d-9b64-87d54cbbfa2e"", ""b9d8a4e0-2662-45ca-856f-f71c8464b1e9"", ""6596437f-c506-4976-a7cf-e20105e789a2"", ""a1686806-8747-439a-bf3d-0a2a8a0da92b"", ""8aa9f61e-63fb-424a-bbfa-19925f947beb"", ""5836431b-db39-4f91-8eaf-24bcd010cdde"", ""db0a1f60-461d-4c59-b971-302a6329cef6"", ""42aa6144-77d3-4b3f-a128-d2ca988b4bf1"", ""4bca7c10-cf64-406a-920c-2aa4c44c6278"", ""7e012f27-0a06-4ea3-b4b2-8eae36826f01""], ""labels"": [""Chinatown & Hawker Food Tour"", ""Hawker Tour"", ""Rooftop* Farm Experience + Salad & Sugarcane"", ""Secret of the East Tour"", ""Cooking Class + Market Tour"", ""Mahjong & Tea"", ""Batik Painting"", ""Vespa SideCar Tour"", ""Market to Table"", ""Rooftop Pool Bar"", ""Wellness"", ""Island Hoppers"", ""Lunch at JAAN""]}",k0fsckj51rkeiedjf1yk0fscgynpgh8j
2026-07-08T16:22:01Z,"{""ids"": [""PkoVfWpEiWuR"", ""IKIcVEsby3qG"", ""BwY5w3o4zoyL"", ""40NkbnVTfFrJ"", ""kAgZSmE7ahLB"", ""AgfumYMt7vYH"", ""S1JxjeWXv7ob"", ""mKyGAFOVLSCX"", ""VCKdRZnF3lcP"", ""uCZ8Oga8o9Ju"", ""Hwfn5ZyRJaNR"", ""9N2UOILjYQXJ"", ""SrRKZ0qYZMQb""], ""refs"": [""a1686806-8747-439a-bf3d-0a2a8a0da92b"", ""42aa6144-77d3-4b3f-a128-d2ca988b4bf1"", ""b9d8a4e0-2662-45ca-856f-f71c8464b1e9"", ""8aa9f61e-63fb-424a-bbfa-19925f947beb"", ""7e012f27-0a06-4ea3-b4b2-8eae36826f01"", ""1d38897b-d742-416b-ab51-4227b94b4fbf"", ""217d0bc6-fcb9-4213-81d8-c53fb9f4f116"", ""6596437f-c506-4976-a7cf-e20105e789a2"", ""a5f7c594-9850-4e9d-9b64-87d54cbbfa2e"", ""db0a1f60-461d-4c59-b971-302a6329cef6"", ""fbafb31a-a38b-42e6-8c2e-ad5fdc9025d7"", ""4bca7c10-cf64-406a-920c-2aa4c44c6278"", ""5836431b-db39-4f91-8eaf-24bcd010cdde""], ""labels"": [""Batik Painting"", ""Wellness"", ""Cooking Class + Market Tour"", ""Vespa SideCar Tour"", ""Lunch at JAAN"", ""Hawker Tour"", ""Chinatown & Hawker Food Tour"", ""Mahjong & Tea"", ""Secret of the East Tour"", ""Rooftop Pool Bar"", ""Rooftop* Farm Experience + Salad & Sugarcane"", ""Island Hoppers"", ""Market to Table""]}",vyj9eb3utr8c3xgzcndykz9vyj9e2fxl
2026-07-08T19:06:12Z,"{""ids"": [""9N2UOILjYQXJ"", ""IKIcVEsby3qG"", ""40NkbnVTfFrJ"", ""mKyGAFOVLSCX"", ""Hwfn5ZyRJaNR"", ""BwY5w3o4zoyL"", ""kAgZSmE7ahLB"", ""S1JxjeWXv7ob"", ""uCZ8Oga8o9Ju"", ""SrRKZ0qYZMQb"", ""AgfumYMt7vYH"", ""VCKdRZnF3lcP"", ""PkoVfWpEiWuR""], ""refs"": [""4bca7c10-cf64-406a-920c-2aa4c44c6278"", ""42aa6144-77d3-4b3f-a128-d2ca988b4bf1"", ""8aa9f61e-63fb-424a-bbfa-19925f947beb"", ""6596437f-c506-4976-a7cf-e20105e789a2"", ""fbafb31a-a38b-42e6-8c2e-ad5fdc9025d7"", ""b9d8a4e0-2662-45ca-856f-f71c8464b1e9"", ""7e012f27-0a06-4ea3-b4b2-8eae36826f01"", ""217d0bc6-fcb9-4213-81d8-c53fb9f4f116"", ""db0a1f60-461d-4c59-b971-302a6329cef6"", ""5836431b-db39-4f91-8eaf-24bcd010cdde"", ""1d38897b-d742-416b-ab51-4227b94b4fbf"", ""a5f7c594-9850-4e9d-9b64-87d54cbbfa2e"", ""a1686806-8747-439a-bf3d-0a2a8a0da92b""], ""labels"": [""Island Hoppers"", ""Wellness"", ""Vespa SideCar Tour"", ""Mahjong & Tea"", ""Rooftop* Farm Experience + Salad & Sugarcane"", ""Cooking Class + Market Tour"", ""Lunch at JAAN"", ""Chinatown & Hawker Food Tour"", ""Rooftop Pool Bar"", ""Market to Table"", ""Hawker Tour"", ""Secret of the East Tour"", ""Batik Painting""]}",6ouswpu0lf3l25k4jc566ouswpvmtaua
2026-07-09T01:04:04Z,"{""ids"": [""BwY5w3o4zoyL"", ""40NkbnVTfFrJ"", ""IKIcVEsby3qG"", ""Hwfn5ZyRJaNR"", ""S1JxjeWXv7ob"", ""AgfumYMt7vYH"", ""VCKdRZnF3lcP"", ""SrRKZ0qYZMQb"", ""mKyGAFOVLSCX"", ""PkoVfWpEiWuR"", ""9N2UOILjYQXJ"", ""kAgZSmE7ahLB"", ""uCZ8Oga8o9Ju""], ""refs"": [""b9d8a4e0-2662-45ca-856f-f71c8464b1e9"", ""8aa9f61e-63fb-424a-bbfa-19925f947beb"", ""42aa6144-77d3-4b3f-a128-d2ca988b4bf1"", ""fbafb31a-a38b-42e6-8c2e-ad5fdc9025d7"", ""217d0bc6-fcb9-4213-81d8-c53fb9f4f116"", ""1d38897b-d742-416b-ab51-4227b94b4fbf"", ""a5f7c594-9850-4e9d-9b64-87d54cbbfa2e"", ""5836431b-db39-4f91-8eaf-24bcd010cdde"", ""6596437f-c506-4976-a7cf-e20105e789a2"", ""a1686806-8747-439a-bf3d-0a2a8a0da92b"", ""4bca7c10-cf64-406a-920c-2aa4c44c6278"", ""7e012f27-0a06-4ea3-b4b2-8eae36826f01"", ""db0a1f60-461d-4c59-b971-302a6329cef6""], ""labels"": [""Cooking Class + Market Tour"", ""Vespa SideCar Tour"", ""Wellness"", ""Rooftop* Farm Experience + Salad & Sugarcane"", ""Chinatown & Hawker Food Tour"", ""Hawker Tour"", ""Secret of the East Tour"", ""Market to Table"", ""Mahjong & Tea"", ""Batik Painting"", ""Island Hoppers"", ""Lunch at JAAN"", ""Rooftop Pool Bar""]}",dkzpkteyqmmcfadid0m8dkzpkfemjvt1
2026-07-09T01:06:50Z,"{""ids"": [""BwY5w3o4zoyL"", ""40NkbnVTfFrJ"", ""IKIcVEsby3qG"", ""Hwfn5ZyRJaNR"", ""S1JxjeWXv7ob"", ""VCKdRZnF3lcP"", ""mKyGAFOVLSCX"", ""AgfumYMt7vYH"", ""SrRKZ0qYZMQb"", ""PkoVfWpEiWuR"", ""9N2UOILjYQXJ"", ""kAgZSmE7ahLB"", ""uCZ8Oga8o9Ju""], ""refs"": [""b9d8a4e0-2662-45ca-856f-f71c8464b1e9"", ""8aa9f61e-63fb-424a-bbfa-19925f947beb"", ""42aa6144-77d3-4b3f-a128-d2ca988b4bf1"", ""fbafb31a-a38b-42e6-8c2e-ad5fdc9025d7"", ""217d0bc6-fcb9-4213-81d8-c53fb9f4f116"", ""a5f7c594-9850-4e9d-9b64-87d54cbbfa2e"", ""6596437f-c506-4976-a7cf-e20105e789a2"", ""1d38897b-d742-416b-ab51-4227b94b4fbf"", ""5836431b-db39-4f91-8eaf-24bcd010cdde"", ""a1686806-8747-439a-bf3d-0a2a8a0da92b"", ""4bca7c10-cf64-406a-920c-2aa4c44c6278"", ""7e012f27-0a06-4ea3-b4b2-8eae36826f01"", ""db0a1f60-461d-4c59-b971-302a6329cef6""], ""labels"": [""Cooking Class + Market Tour"", ""Vespa SideCar Tour"", ""Wellness"", ""Rooftop* Farm Experience + Salad & Sugarcane"", ""Chinatown & Hawker Food Tour"", ""Secret of the East Tour"", ""Mahjong & Tea"", ""Hawker Tour"", ""Market to Table"", ""Batik Painting"", ""Island Hoppers"", ""Lunch at JAAN"", ""Rooftop Pool Bar""]}",lza1epz53y7ay97yrlza14y7xqhuc7i5
