submitted_at,What is your advertising spend per month?,Do you currently use a card for your online advertising?,"What, if any, rewards do you get for Ad Spend?",Do you currently have a credit facility?,Would interest-free credit be of interest to you?,What kind of MDS offer would you like to see from Juni that would make it a no-brainer for you to switch your inventory and ad spend over to Juni?,response_id
2022-09-27T23:37:30Z,10000,False,1% cashback,test,True,test,mgh9uem5zbqqc3hvlmgh9uqrlqxj2bul
2022-10-01T11:49:41Z,$20k on Amazon,False,None,NA. 100% on Amazon.,True,Cashback and/or extended terms at 0%,argdu0a3bruu1gytzargduzq6o2bmjzz
2022-10-01T12:30:21Z,25000,True,"3% cashback on ppc spends, 1% on other spends",End of month,True,A better cashback on Amazon ppc spends,dvm7cyhv5l51tkd8dvm7z638lipcsejd
2022-10-01T12:42:59Z,15000,True,Points,90% Amazon; 10% fb ads,True,,qhw838el025ca521qhw831e980x8orga
2022-10-03T14:16:18Z,50000. Most on amazon.com PPC,False,N/A,N/A,True,Cashback like Brex,urrsyzad4isp5kc6vurrsyn0v1w7aq60
2022-10-04T05:43:53Z,"£65,000",True,3% Jeeves cash back or amex points,100% amazon 65k p/m,True,,q51fniaokjbnq51ftpuc89mj7qpp4lai
