submitted_at,Tell us how you would rate our tea?,Do you have any comments about the flavor?,Would you purchase it again?,Why not?,response_id
2020-09-11T14:32:01Z,5,Bold and energizing,True,,3qw5qzyojx2eo94ewt7sfuh3qw5qz31y
2020-11-14T18:44:03Z,5,Smooth. Best cup of tea- green tea I've ever had! This is by fast my favorite tea! Time to reorder❤,True,I will always reorder,9n9uetk3249ex4e3s79n9uejj9j4tz6v
2021-06-13T15:25:58Z,5,Love the ginger,True,Love it,yg6uqm95igr0p705syg6u0eq1pnnugdr
2023-02-10T20:09:29Z,3,Mellow,True,,62jzrpfjr8div5c1562jz5yi6205qwb1
2023-02-10T20:10:30Z,3,,True,,3t7nevmqgxfao3t740dms70stehvhi40
2023-02-10T20:11:01Z,3,,True,,lz5l6udw9ow219prsas1rsfzlz5l6udw
2023-04-11T13:26:36Z,5,Pleasant,True,"No reason, pleased with it.",7r8545n04hxfs3xe7r851epnsohyk8yc
2024-11-17T14:23:20Z,1,sucks,False,sucks,88q2ccd2azk488tastxfe8rcwn6l9xh6
