submitted_at,*What should we do about our GNO members (Gal Ezuz and Ouriel Rybski)?*,*Add any notes related to the GNO issue here.*,*What should we do about Brian Kelsey?*,*Add any notes related to Brian Kelsey here.*,response_id
2026-05-07T19:25:40Z,Kick them out,Received multiple emails from them and never engaged initially,Let him stay,,em8csfdmb6k5aem88ekhoacmfo34a7i8
2026-05-07T19:26:37Z,Kick them out,,Kick him out,,83dr494772bc0o1dtu83dr4hl6tzm1wp
2026-05-07T20:24:47Z,Kick them out,The main reason for me is that they provide no value to the group,Kick him out,,72ph3wd4mkkzlxdu9l672ph3w7l5juho
2026-05-07T23:06:52Z,Kick them out,"Like Alex said, I feel like no one said any positive thing about them and I haven’t seen them contributed anything.",Let him stay,,qka1ojqosd5zggwiqka17pwtl2vf6mmr
2026-05-07T23:11:33Z,Kick them out,"Like Alex said, no one has said anything positive about them and I haven’t seen them contributed.",Let him stay,"I think to be fair he did contribute quite a bit to the group, even though he obviously also has his own agenda. And second, kicking him out would likely build another outspoken enemy of MDS , Lori is enough to deal with, do we want them to join force against MDS?",asy2nb7sq679lgseoasy280rfpxxkfut
2026-05-08T07:48:34Z,Other,"i haven't followed the latest discussion, so i vote ""neutral""",Let him stay,he still delivers value in the group,isl4dld9asv31tqpi2isl47zv0nkp8gs
2026-05-11T15:43:47Z,Kick them out,there is no way information being shared in MDS isn't making it way to the other group,Kick him out,Brian is a great guy but this seems to keep coming up,mpn3taanls1v1jqi6v87mpn3ul5t1z69
2026-05-11T17:19:36Z,Kick them out,,Kick him out,,sep9o80r1yem8yuxsep9o890lz4lcgxi
2026-05-13T18:12:19Z,Kick them out,,Kick him out,,mgkp1qvh3mp9apxmgkc6vzk9krgltt28
